          234         464
     2.0642  -122.9862    -0.3509nan        nan        nan        
    -0.1306   -96.0482     1.6734    -0.2923    -0.3683    -0.8826
     2.6436   -96.8621    -0.4375    -0.9217    -0.1019    -0.3743
     2.7106   -97.0740    -4.5073    -0.9034     0.0334     0.4275
    -0.8126   -96.7283    -7.6276    -0.8182     0.1313     0.5598
    -3.7000   -96.9809   -12.9792     0.8086    -0.2005     0.5532
    -3.0642   -87.0388    -4.8697     0.9941    -0.0572    -0.0922
    -2.4128   -87.0350    -1.3929     0.6484    -0.1585    -0.7446
     0.6231   -87.5614    -1.4579     0.1260    -0.0480    -0.9909
     2.4344   -87.8319    -0.5666    -0.6261     0.0638    -0.7771
     3.3688   -87.8070    -4.3369    -0.9447     0.1119     0.3083
     0.0212   -88.2467    -6.9682    -0.7355     0.1111     0.6683
    -3.2064   -87.6476   -11.7210     0.3901    -0.0045     0.9208
    -2.7585   -77.8298    -4.3958     0.9815    -0.0707    -0.1780
    -1.8017   -78.2869    -1.3214     0.5507    -0.0324    -0.8341
     0.3484   -78.2924    -0.0343     0.0551     0.0115    -0.9984
     4.0292   -78.1969    -2.1245    -0.8680     0.1081    -0.4846
     4.9126   -78.5705    -5.7294    -0.8789     0.1838     0.4401
     2.3483   -78.1068    -7.7334    -0.5769     0.1357     0.8054
    -2.7072   -77.5341   -11.0640     0.8132    -0.1208     0.5693
    -1.6395   -67.0673    -4.6275     0.9753    -0.1816     0.1258
    -0.6638   -67.3570    -1.0461     0.7592    -0.1052    -0.6423
     2.3192   -68.2429    -1.2191    -0.0712    -0.0748    -0.9946
     5.6357   -68.2329    -1.8621    -0.5108     0.0271    -0.8593
     6.3113   -68.4770    -4.9121    -0.9890     0.1431    -0.0376
     4.4502   -68.5046    -8.4642    -0.6567     0.1348     0.7420
    -0.1171   -68.1760   -10.2139     0.0392    -0.0460     0.9982
     0.5486   -52.9414    -5.0085     0.9743    -0.1156     0.1933
     1.4434   -53.3331    -1.6876     0.4820    -0.1055    -0.8698
     4.3529   -54.3845    -2.9573    -0.0125     0.0224    -0.9997
     7.1515   -52.8944    -2.1732    -0.6055     0.0902    -0.7907
     8.9884   -53.1843    -6.0911    -0.9833     0.1651     0.0766
     6.7490   -52.7848    -8.5407    -0.5334     0.1035     0.8395
     4.4565   -52.5192    -9.6189     0.2514    -0.0287     0.9675
     1.7183   -42.1098    -5.0971     0.9859    -0.0723     0.1510
     2.4446   -42.0845    -2.0437     0.6953    -0.0194    -0.7185
     5.2800   -42.8217    -0.6595     0.0559     0.0667    -0.9962
     8.5581   -42.7076    -3.1795    -0.7374     0.0664    -0.6722
    11.1470   -42.7618    -6.8336    -0.9724     0.1868     0.1399
     8.0054   -41.9615    -8.8682    -0.4423     0.0720     0.8940
     5.3253   -42.3352   -10.3782     0.2094     0.0035     0.9778
     2.2331   -34.5109    -4.5422     0.9972    -0.0326     0.0676
     3.1135   -35.7947    -1.7851     0.7429     0.0014    -0.6694
     5.6660   -35.9862    -0.5446    -0.0677     0.0768    -0.9948
     9.3186   -35.2932    -3.2660    -0.7061     0.0979    -0.7014
    12.8963   -34.9659    -7.6398    -0.9592     0.1101     0.2606
     8.5763   -34.5671    -8.4955    -0.4028    -0.0393     0.9145
     5.1015   -34.4479   -10.4131     0.3300    -0.0440     0.9430
     2.0782   -23.8971    -3.8040     0.9990     0.0450     0.0065
     3.3713   -23.8599    -0.7861     0.7379     0.0967    -0.6680
     5.9471   -23.9249     1.1901    -0.1599     0.0823    -0.9837
     9.8627   -22.2941    -1.7862    -0.6620     0.0798    -0.7453
    13.4025   -21.4326    -5.3348    -0.9871    -0.0395     0.1552
     9.3529   -21.0321    -7.8351    -0.4594    -0.0796     0.8846
     4.1421   -22.3513    -9.0547     0.4714    -0.0515     0.8804
     0.9504   -12.4397    -1.9845     0.9874     0.1473    -0.0587
     3.2282   -13.2828     0.8166     0.5037     0.1081    -0.8571
     7.5909   -13.9821     0.1574    -0.2742     0.1115    -0.9552
     9.0904   -12.9588    -0.6216    -0.6538     0.0696    -0.7534
    12.4415   -11.8570    -3.6835    -0.9986    -0.0395     0.0363
